ap ,id    ,date    ,hjd          ,ra       ,dec      ,v     ,bv    ,teff  ,feh   ,feh_err,logg  ,logg_err,vsini ,vsini_err,rv        ,rve    ,fwhm      ,ccph  ,instr 
51,100025,20090213,2454875.69127,5.873037,32.747101,17.065,0.992,5334,-0.12,0.06,4.251,0.138,3.71,0.24,8.858,0.415,12.36,0.8603,chelle
91,100027,20080228,2454524.68765,5.874668,32.725861,17.149,0.972,5395,-0.089,0.056,4.249,0.134,3.83,0.09,8.82,0.446,12,0.8502,chelle
91,100027,20080301,2454526.70915,5.874668,32.725861,17.149,0.972,5395,-0.152,0.062,4.329,0.129,4.79,0.33,9.129,0.514,12.78,0.8569,chelle
194,100027,20081026,2454765.83086,5.874668,32.725861,17.149,0.972,5395,-0.12,0.059,4.403,0.12,3.76,0.08,8.846,0.405,13.12,0.8763,chelle
91,100030,20080225,2454521.73659,5.874909,32.752274,17.442,1.04,5191,-0.144,0.059,4.234,0.182,0.07,0.15,8.69,0.918,11.02,0.5936,chelle
194,100030,20081023,2454762.86746,5.874909,32.752274,17.442,1.04,5191,-0.094,0.059,4.242,0.187,4.72,0.47,8.669,0.615,14.27,0.8288,chelle
79,100030,20081123,2454793.91468,5.874909,32.752274,17.442,1.04,5191,-0.165,0.061,4.285,0.203,3.29,0.45,8.715,0.703,12.58,0.7699,chelle
64,100030,20090213,2454875.69127,5.874909,32.752274,17.442,1.04,5191,-0.053,0.057,4.208,0.194,3.89,1.07,8.82,0.788,13.54,0.8196,chelle
94,100041,20080225,2454521.73659,5.871945,32.749351,17.92,1.25,4644,-0.354,0.125,2.335,0.24,2.08,0.79,-9.539,1.198,8.49,0.3861,chelle
65,100041,20081124,2454794.94126,5.871945,32.749351,17.92,1.25,4644,-0.382,0.095,2.63,0.308,0.88,0.39,-10.18,0.569,9.95,0.7712,chelle
102,100044,20080302,2454527.68799,5.875578,32.722424,18.048,1.166,4849,-0.48,0.089,3.492,0.242,0.95,0.45,9.032,1.254,10.82,0.475,chelle
198,100044,20081026,2454765.83086,5.875578,32.722424,18.048,1.166,4849,-0.099,0.066,4.035,0.239,5.63,0.74,8.649,0.975,14.75,0.7634,chelle
43,100044,20101119,2455519.91915,5.875578,32.722425,18.048,1.166,4849,-0.219,0.086,3.869,0.243,6.7,0.3,9.072,0.859,15.63,0.8076,chelle
104,100047,20080302,2454527.68799,5.876669,32.730839,17.878,1.135,4929,-0.451,0.087,3.739,0.224,2.46,0.75,-46.146,1.017,12.83,0.5913,chelle
199,100047,20081024,2454764.85411,5.876669,32.730839,17.878,1.135,4929,-0.401,0.091,3.689,0.222,0.69,0.28,-45.261,0.526,12.6,0.7486,chelle
199,100047,20081025,2454764.85411,5.876669,32.730839,17.878,1.135,4929,-0.401,0.091,3.689,0.222,0.69,0.28,-45.255,0.526,12.6,0.7486,chelle
96,100052,20080228,2454524.68765,5.872057,32.737125,18.351,1.227,4699,-0.337,0.117,2.774,0.343,1.8,0.6,8.631,2.396,9.56333,0.2354,chelle
96,100052,20080301,2454526.70915,5.872057,32.737125,18.351,1.227,4699,0.175,0.087,3.725,0.231,5.61,0.19,8.055,1.246,13.67,0.6084,chelle
186,100052,20081024,2454764.85411,5.872057,32.737125,18.351,1.227,4699,0.014,0.072,3.817,0.187,0.27,0.63,8.472,1.074,15.73,0.6601,chelle
186,100052,20081025,2454764.85411,5.872057,32.737125,18.351,1.227,4699,0.014,0.072,3.817,0.187,0.27,0.63,8.458,1.074,15.73,0.6601,chelle
44,100052,20101119,2455519.91915,5.872057,32.737125,18.351,1.227,4699,-0.085,0.069,3.929,0.231,1.08,0.88,8.288,0.863,14.24,0.7466,chelle
208,100057,20101119,2455519.80379,5.873895,32.72484,18.51,1.264,4612,-0.324,0.082,3.322,0.286,7.17,0.09,11.148,1.123,13.85,0.6395,chelle
